12746983217649842168641836418246832164832 23469864817641986483764986981 +
48545982654817658714298765401650983240832765798793147836519213749832 3248312740917585927908743097347483787483249897208194029834948 +
48545982654817658714298765401650983240832765798793147836519213749832 3248312740917585927908743097347483787483249897208194029834948 -
48545982658765401650983240832765798793147836519213749832 3248312740917585927908743097347483787483249897208194029834948 -
9219873876293208409364082768372649182764981742 321548760918709126029347821716491624087321 *
52137216537329219873876293208409364082768372649182764981742 8743982173921873982173321548760918709126029347821716491624087321 *
-23762187362187362187 376487316487326483274687648732 *
4223762187323432432432462187362187 -832749832376487316487326483274687648732 *
234768194687463827649831768321764982764821374741872 12123213 /
-52253452234768194687463827649831768321764982764821374741872 912123214365435435434324845543214368731411221334872982733 /
1 0 /
0 0 /
0 3214132443 /
